Instruction,Input,Output,text
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,RefineryUnitOperations,Operational data from individual refining units including throughput and efficiency.,Unit_Name,UN,TEXT,NOT NULLABLE",Name of the refining unit,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,RefineryUnitOperations,Operational data from individual refining units including throughput and efficiency.,Unit_Name,UN,TEXT,NOT NULLABLE
### Response:
Name of the refining unit"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,SafetyIncidentReports_Drilling,Safety incident reports specific to drilling operations including near-misses and accidents.,Severity,Sev,TEXT,NOT NULLABLE",The severity level of the safety incident (low,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,SafetyIncidentReports_Drilling,Safety incident reports specific to drilling operations including near-misses and accidents.,Severity,Sev,TEXT,NOT NULLABLE
### Response:
The severity level of the safety incident (low"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Product Quality Assurance System,PQAS,QualityControlChecklists,Checklists and results from quality control inspections for products.,Table Name,TN,TEXT,NOT NULLABLE",Name of the table: QualityControlChecklists,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Product Quality Assurance System,PQAS,QualityControlChecklists,Checklists and results from quality control inspections for products.,Table Name,TN,TEXT,NOT NULLABLE
### Response:
Name of the table: QualityControlChecklists"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,DailyDrillingLogs,Daily logs of drilling activities including depth, time, and operational notes.,Data Type,DT,TEXT,NOT NULLABLE",The data type of the column.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,DailyDrillingLogs,Daily logs of drilling activities including depth, time, and operational notes.,Data Type,DT,TEXT,NOT NULLABLE
### Response:
The data type of the column."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,ProcessOptimizationStudies,Studies aimed at optimizing refining processes for efficiency and product quality.,data_collection_method,COLLECTION_METHOD,TEXT,NULLABLE",Method used for data collection,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,ProcessOptimizationStudies,Studies aimed at optimizing refining processes for efficiency and product quality.,data_collection_method,COLLECTION_METHOD,TEXT,NULLABLE
### Response:
Method used for data collection"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Record ID,RID,NUMBER,NOT NULLABLE",Unique identifier for each record,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Record ID,RID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each record"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,TechnologyUtilizationReports,Reports on the technology used in exploration processes and their effectiveness.,Nullability,NB,TEXT,NOT NULLABLE",Indicates whether the column allows null values.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,TechnologyUtilizationReports,Reports on the technology used in exploration processes and their effectiveness.,Nullability,NB,TEXT,NOT NULLABLE
### Response:
Indicates whether the column allows null values."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Investment and Asset Management System,IAMS,StrategicDivestiturePlans,Plans for strategic divestitures, including timelines and expected outcomes, as part of asset management strategies.,AssetType,AT,TEXT,NOT NULLABLE",Type of asset targeted for divestiture (e.g.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Investment and Asset Management System,IAMS,StrategicDivestiturePlans,Plans for strategic divestitures, including timelines and expected outcomes, as part of asset management strategies.,AssetType,AT,TEXT,NOT NULLABLE
### Response:
Type of asset targeted for divestiture (e.g."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Renewable Energy Project Database,REPD,PowerPurchaseAgreements,Details of power purchase agreements for renewable energy sales.,Buyer Address,BA,TEXT,NULLABLE",The address of the buyer of the renewable energy.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Renewable Energy Project Database,REPD,PowerPurchaseAgreements,Details of power purchase agreements for renewable energy sales.,Buyer Address,BA,TEXT,NULLABLE
### Response:
The address of the buyer of the renewable energy."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,RegulatoryInspectionResponses,Responses to findings from regulatory inspections including corrective actions taken.,ActionDate,ActDate,DATETIME,NOT NULLABLE",Date of the corrective action,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,RegulatoryInspectionResponses,Responses to findings from regulatory inspections including corrective actions taken.,ActionDate,ActDate,DATETIME,NOT NULLABLE
### Response:
Date of the corrective action"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Financial Reporting System,FRS,AuditFindingsRepository,Repository of findings from internal and external financial audits.,ModifiedBy, MB,TEXT,NULLABLE", User who last modified the finding,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Financial Reporting System,FRS,AuditFindingsRepository,Repository of findings from internal and external financial audits.,ModifiedBy, MB,TEXT,NULLABLE
### Response:
 User who last modified the finding"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,HazardIdentificationRecords,Records of identified hazards in operations including risk assessments and control measures.,Operation ID,OID,NUMERIC,NOT NULLABLE",Identifier for the operation associated with the hazard.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,HazardIdentificationRecords,Records of identified hazards in operations including risk assessments and control measures.,Operation ID,OID,NUMERIC,NOT NULLABLE
### Response:
Identifier for the operation associated with the hazard."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,RefineryProductionSchedules,Detailed schedules of refinery operations including planned outputs by product type.,Planned Duration,PD,NUMBER,NOT NULLABLE",The planned duration of the operation in days,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,RefineryProductionSchedules,Detailed schedules of refinery operations including planned outputs by product type.,Planned Duration,PD,NUMBER,NOT NULLABLE
### Response:
The planned duration of the operation in days"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Status,RiskStatus,TEXT,NOT NULLABLE",Current status of the risk assessment.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Status,RiskStatus,TEXT,NOT NULLABLE
### Response:
Current status of the risk assessment."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,TradeComplianceRecords,Records of trade compliance including import/export documentation,CustomsClearanceDate,CD,DATETIME,NULLABLE",Date of customs clearance,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,TradeComplianceRecords,Records of trade compliance including import/export documentation,CustomsClearanceDate,CD,DATETIME,NULLABLE
### Response:
Date of customs clearance"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Environmental Impact Monitoring System,EIMS,EnvironmentalIncidentLog,Log of environmental incidents including spills, with response actions and outcomes.,ActionTaken,AT,TEXT,NULLABLE",Specific actions taken to address the incident,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Environmental Impact Monitoring System,EIMS,EnvironmentalIncidentLog,Log of environmental incidents including spills, with response actions and outcomes.,ActionTaken,AT,TEXT,NULLABLE
### Response:
Specific actions taken to address the incident"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Human Resources Information System,HRIS,CompensationBenchmarking,Comparative data on compensation packages across the industry for benchmarking purposes.,Annual_Benefits,AB,NULLABLE,Nullable",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Human Resources Information System,HRIS,CompensationBenchmarking,Comparative data on compensation packages across the industry for benchmarking purposes.,Annual_Benefits,AB,NULLABLE,Nullable
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,SustainabilityInitiativeProgress,Tracking of progress on sustainability initiatives and goals.,InitiativeStartDate,InitStartDate,DATETIME,NULLABLE",Start date of the sustainability initiative,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,SustainabilityInitiativeProgress,Tracking of progress on sustainability initiatives and goals.,InitiativeStartDate,InitStartDate,DATETIME,NULLABLE
### Response:
Start date of the sustainability initiative"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,EthicsViolationReports,Reports of any ethics violations and the outcomes of investigations.,InvestigationStatus,InvStat,TEXT,NOT NULLABLE",Status of the investigation relating to the ethics violation.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,EthicsViolationReports,Reports of any ethics violations and the outcomes of investigations.,InvestigationStatus,InvStat,TEXT,NOT NULLABLE
### Response:
Status of the investigation relating to the ethics violation."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Human Resources Information System,HRIS,CompensationBenchmarking,Comparative data on compensation packages across the industry for benchmarking purposes.,Retirement_Plan,RP,NULLABLE,Nullable",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Human Resources Information System,HRIS,CompensationBenchmarking,Comparative data on compensation packages across the industry for benchmarking purposes.,Retirement_Plan,RP,NULLABLE,Nullable
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,OperationalRiskManagementAssessments,Assessments of operational risks with implications for safety including mitigation strategies.,Risk Description,RD,TEXT,NOT NULLABLE",Detailed description of the operational risk,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,OperationalRiskManagementAssessments,Assessments of operational risks with implications for safety including mitigation strategies.,Risk Description,RD,TEXT,NOT NULLABLE
### Response:
Detailed description of the operational risk"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Investment and Asset Management System,IAMS,StrategicDivestiturePlans,Plans for strategic divestitures, including timelines and expected outcomes, as part of asset management strategies.,PlanID,PI,NUMBER,NOT NULLABLE",Unique identifier for each divestiture plan,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Investment and Asset Management System,IAMS,StrategicDivestiturePlans,Plans for strategic divestitures, including timelines and expected outcomes, as part of asset management strategies.,PlanID,PI,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each divestiture plan"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,ContractorSafetyEvaluations,Evaluations of contractors' adherence to safety standards and practices.,Contractor Address,CAddress,TEXT,NULLABLE",Address of the contractor being evaluated,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,ContractorSafetyEvaluations,Evaluations of contractors' adherence to safety standards and practices.,Contractor Address,CAddress,TEXT,NULLABLE
### Response:
Address of the contractor being evaluated"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Logistics Optimization Software,LOS,CostReductionInitiatives_Logistics,Initiatives aimed at reducing logistics costs, including negotiations and process improvements.,Actual Metric Improvement,ACTUAL_METRIC_IMPROVEMENT,TEXT,NULLABLE",The actual improvement in a specific metric achieved through the initiative.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Logistics Optimization Software,LOS,CostReductionInitiatives_Logistics,Initiatives aimed at reducing logistics costs, including negotiations and process improvements.,Actual Metric Improvement,ACTUAL_METRIC_IMPROVEMENT,TEXT,NULLABLE
### Response:
The actual improvement in a specific metric achieved through the initiative."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,RegulatoryInspectionResponses,Responses to findings from regulatory inspections including corrective actions taken.,ResponseStatus,RespStat,TEXT,NOT NULLABLE",Status of the response,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,RegulatoryInspectionResponses,Responses to findings from regulatory inspections including corrective actions taken.,ResponseStatus,RespStat,TEXT,NOT NULLABLE
### Response:
Status of the response"
